O*NET-SOC Code,Title,Analytical_Thinking,Emotional_Intelligence,Creativity,Manual_Dexterity,AI_Exposure_Index,Skill_Disruption_Index,Labour_Market_Churn,Repetitiveness,Skill_Diversity,Cognitive_Manual_Ratio,Composite_Risk_Score,Automation_Risk,Cluster
15-1211.01,Health Informatics Specialists,0.6653992395437263,0.6600000000000003,0.8333333333333334,0.358974358974359,0.94,0.97,0.35,0.5,0.18052157594180065,2.513151350572908,0.488,Medium,1
15-1212.00,Information Security Analysts,0.6197718631178707,0.5,0.54,0.282051282051282,0.94,0.97,0.35,0.5,0.12526974251850873,2.1223312320926575,0.5760000000000001,Medium,0
15-1221.00,Computer and Information Research Scientists,0.6653992395437263,0.5357142857142858,0.7466666666666667,0.3205128205128205,0.94,0.97,0.35,0.5,0.16378055637489025,2.3738571060150644,0.514,Medium,0
15-1231.00,Computer Network Support Specialists,0.5703422053231939,0.44714285714285706,0.4133333333333334,0.44230769230769224,0.94,0.97,0.35,0.5,0.061971806038962476,1.5184195204614321,0.614,Medium,0
15-1232.00,Computer User Support Specialists,0.5703422053231939,0.5714285714285716,0.5,0.5192307692307693,0.94,0.97,0.35,0.5,0.03617868705989334,1.61079396806284,0.5880000000000001,Medium,0
15-1241.00,Computer Network Architects,0.7110266159695818,0.6071428571428572,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.14443164444948894,2.2646440425957506,0.5760000000000001,Medium,0
15-1241.01,Telecommunications Engineering Specialists,0.5209125475285171,0.5342857142857144,0.5800000000000001,0.4807692307692307,0.94,0.97,0.35,0.5,0.03772590444973508,1.6672609711302446,0.5640000000000001,Medium,0
15-1242.00,Database Administrators,0.6197718631178707,0.5185714285714285,0.54,0.24038461538461536,0.94,0.97,0.35,0.5,0.14350027392411702,2.2668532740251215,0.5760000000000001,Medium,0
15-1243.00,Database Architects,0.6197718631178707,0.5,0.54,0.282051282051282,0.94,0.97,0.35,0.5,0.12526974251850873,2.1223312320926575,0.5760000000000001,Medium,0
15-1243.01,Data Warehousing Specialists,0.6197718631178707,0.5171428571428573,0.54,0.0,0.94,0.97,0.35,0.5,0.24767032379198445,3.353829433813797,0.5760000000000001,Medium,1
15-1244.00,Network and Computer Systems Administrators,0.6197718631178707,0.5357142857142858,0.5800000000000001,0.4807692307692307,0.94,0.97,0.35,0.5,0.057090616660504474,1.7695152872011244,0.5640000000000001,Medium,0
15-1251.00,Computer Programmers,0.5703422053231939,0.5528571428571432,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.10186325676032278,2.02702420312435,0.5760000000000001,Medium,0
15-1252.00,Software Developers,0.6197718631178707,0.4657142857142857,0.5800000000000001,0.19871794871794873,0.94,0.97,0.35,0.5,0.16507844983453465,2.3836315490455955,0.5640000000000001,Medium,0
15-1253.00,Software Quality Assurance Analysts and Testers,0.6197718631178707,0.5371428571428573,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.11122027107978216,2.0681148127972473,0.5760000000000001,Medium,0
15-1254.00,Web Developers,0.5703422053231939,0.4828571428571428,0.5800000000000001,0.3205128205128205,0.94,0.97,0.35,0.5,0.10419817457085756,1.9904617031689105,0.5640000000000001,Medium,0
15-1255.01,Video Game Designers,0.5703422053231939,0.5714285714285716,0.8733333333333334,0.3205128205128205,0.94,0.97,0.35,0.5,0.19944657632014143,2.4559081311730764,0.476,Medium,1
15-1299.01,Web Administrators,0.6653992395437263,0.5185714285714285,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.12361401402044447,2.1010892492046427,0.5760000000000001,Medium,0
15-1299.02,Geographic Information Systems Technologists and Technicians,0.5209125475285171,0.5,0.5,0.358974358974359,0.94,0.97,0.35,0.5,0.06603055168809299,1.7706146055092,0.5880000000000001,Medium,0
15-1299.03,Document Management Specialists,0.5703422053231939,0.5357142857142858,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.09976931074738217,2.006131346006956,0.5760000000000001,Medium,0
15-1299.05,Information Security Engineers,0.6653992395437263,0.5542857142857142,0.5,0.12179487179487175,0.94,0.97,0.35,0.5,0.20513241886705216,2.7656788903705856,0.5880000000000001,Medium,1
15-1299.08,Computer Systems Engineers/Architects,0.6653992395437263,0.5714285714285716,0.79,0.282051282051282,0.94,0.97,0.35,0.5,0.19038075932985288,2.5916814598965265,0.501,Medium,1
15-1299.09,Information Technology Project Managers,0.7110266159695818,0.7685714285714286,0.6233333333333334,0.0,0.94,0.97,0.35,0.5,0.3081213163241714,4.205862747336962,0.5509999999999999,Medium,1
15-2011.00,Actuaries,0.7604562737642586,0.5714285714285716,0.5,0.0,0.94,0.97,0.35,0.5,0.28164115923650135,3.6637696830581215,0.5880000000000001,Medium,1
15-2021.00,Mathematicians,0.7110266159695818,0.44857142857142873,0.79,0.0,0.94,0.97,0.35,0.5,0.3085324371860838,3.8991960812836295,0.501,Medium,1
15-2031.00,Operations Research Analysts,0.6653992395437263,0.5714285714285716,0.7466666666666667,0.0,0.94,0.97,0.35,0.5,0.29293724039831975,3.966988947343952,0.514,Medium,1
15-2041.00,Statisticians,0.6653992395437263,0.5014285714285714,0.54,0.0,0.94,0.97,0.35,0.5,0.2558168108110326,3.4136556151172845,0.5760000000000001,Medium,1
15-2041.01,Biostatisticians,0.6653992395437263,0.5371428571428573,0.6233333333333334,0.16025641025641024,0.94,0.97,0.35,0.5,0.1995838501673702,2.7654035597252826,0.5509999999999999,Medium,1
15-2051.01,Business Intelligence Analysts,0.6197718631178707,0.5371428571428573,0.5800000000000001,0.0,0.94,0.97,0.35,0.5,0.25410731893648913,3.473829433573797,0.5640000000000001,Medium,1
15-2051.02,Clinical Data Managers,0.6653992395437263,0.6257142857142856,0.54,0.12179487179487175,0.94,0.97,0.35,0.5,0.21642353456898333,2.9448836028953407,0.5760000000000001,Medium,1
15-2099.01,Bioinformatics Technicians,0.4752851711026616,0.4657142857142857,0.54,0.0,0.94,0.97,0.35,0.5,0.22333496155251062,2.961998907709897,0.5760000000000001,Medium,1
17-1011.00,"Architects, Except Landscape and Naval",0.6653992395437263,0.6614285714285714,0.8733333333333334,0.3205128205128205,0.94,0.97,0.35,0.5,0.20663327537282075,2.6814463913544753,0.476,Medium,1
17-1012.00,Landscape Architects,0.6197718631178707,0.7842857142857144,0.9133333333333334,0.3205128205128205,0.94,0.97,0.35,0.5,0.232830155111996,2.8243201690184794,0.46399999999999997,Medium,1
17-1021.00,Cartographers and Photogrammetrists,0.4752851711026616,0.4828571428571428,0.54,0.4006410256410256,0.94,0.97,0.35,0.5,0.05081324540816173,1.6634177987063086,0.5760000000000001,Medium,0
17-1022.00,Surveyors,0.5703422053231939,0.5714285714285716,0.5,0.6025641025641025,0.94,0.97,0.35,0.5,0.046447699487640694,1.4890479124475808,0.5880000000000001,Medium,0
